resultsId,seasonId,raceId,pos,number,teamId,driverId,laps,time,gap,interval,kp/h,best,lap,POSITION,NUMBER,STATUS,LAPS,TOTAL_TIME,GAP_FIRST,GAP_PREVIOUS,FL_LAPNUM,FL_TIME,FL_KPH,TEAM,CLASS,GROUP,DIVISION,VEHICLE,TIRES,ECM Participant Id,ECM Team Id,ECM Category Id,ECM Car Id,ECM Brand Id,ECM Country Id,*Extra 7,*Extra 8,*Extra 9,Sort Key,DRIVER_FIRSTNAME,DRIVER_SECONDNAME,DRIVER_LICENSE,DRIVER_HOMETOWN,DRIVER_COUNTRY,DRIVER_SHORTNAME,DRIVER_ECM Driver Id,DRIVER_ECM Country Id,DRIVER_*Extra 3,DRIVER_*Extra 4,DRIVER_*Extra 5,Unnamed: 37,is_dnf,best_lap_seconds
1571,7,75,21,7,11,66,30,47:04.1,32.079,11.01,129.106,01:32.1,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,92.1
1572,7,75,22,13,15,25,30,47:31.7,59.698,27.619,127.856,01:30.7,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,90.7
1573,7,75,23,29,25,69,30,47:36.3, 1:4.277,4.579,127.651,01:30.1,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,90.1
1574,7,75,,5,28,75,20,31:42.6,,,127.756,01:31.5,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,91.5
1575,7,76,1,13,15,25,26,47:20.7,,,109.326,01:35.2,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,95.2
1576,7,76,2,4,18,29,26,47:23.5,2.848,2.848,109.217,01:35.3,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,95.3
1577,7,76,3,20,23,24,26,47:23.6,2.872,0.024,109.216,01:35.3,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,95.3
1578,7,76,4,25,15,76,26,47:23.8,3.12,0.248,109.207,01:34.7,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,94.7
1579,7,76,5,28,9,34,26,47:24.0,3.27,0.15,109.201,01:35.4,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,95.4
1580,7,76,6,22,37,62,26,47:24.6,3.865,0.595,109.178,01:35.2,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,95.2
1581,7,76,7,10,23,7,26,47:24.8,4.15,0.285,109.167,01:35.1,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,95.1
1582,7,76,8,37,18,13,26,47:25.4,4.752,0.602,109.144,01:35.9,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,95.9
1583,7,76,9,94,25,47,26,47:26.5,5.759,1.007,109.105,01:35.7,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,95.7
1584,7,76,10,11,7,33,26,47:26.9,6.225,0.466,109.087,01:34.7,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,94.7
1585,7,76,11,23,37,10,26,47:27.3,6.567,0.342,109.074,01:35.8,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,95.8
1586,7,76,12,48,41,52,26,47:27.8,7.097,0.53,109.054,01:35.9,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,95.9
1587,7,76,13,71,41,55,26,47:29.2,8.507,1.41,109,01:36.1,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,96.1
1588,7,76,14,88,34,8,26,47:29.9,9.24,0.733,108.972,01:35.9,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,95.9
1589,7,76,15,7,11,66,26,47:30.2,9.499,0.259,108.962,01:35.9,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,95.9
1590,7,76,16,27,9,18,26,47:30.5,9.822,0.323,108.95,01:35.2,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,95.2
1591,7,76,17,36,42,46,26,47:31.2,10.503,0.681,108.924,01:35.0,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,95
1592,7,76,18,6,11,53,26,47:32.1,11.45,0.947,108.888,01:36.0,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,96
1593,7,76,19,8,34,72,26,47:32.8,12.067,0.617,108.864,01:35.6,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,95.6
1594,7,76,,17,28,78,23,42:42.7,,,107.202,01:36.1,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,96.1
1595,7,76,,99,42,79,21,39:21.6,,,106.214,01:35.7,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,95.7
1596,7,76,,5,28,75,21,39:22.2,,,106.187,01:34.4,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,94.4
1597,7,76,,33,7,60,18,29:20.8,,,122.109,01:34.6,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,94.6
1598,7,76,,29,25,69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,
1599,7,77,1,11,7,33,28,47:40.8,,,105.071,01:25.5,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,85.5
1600,7,77,2,33,7,60,28,47:41.3,0.497,0.497,105.053,01:25.5,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,85.5
1601,7,77,3,48,41,52,28,47:43.5,2.774,2.277,104.969,01:26.4,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,86.4
1602,7,77,4,29,25,69,28,47:51.2,10.443,7.669,104.689,01:27.0,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,87
1603,7,77,5,27,9,18,28,47:52.2,11.473,1.03,104.651,01:26.3,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,86.3
1604,7,77,6,13,15,25,28,47:52.4,11.624,0.151,104.646,01:26.6,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,86.6
1605,7,77,7,5,28,75,28,47:52.8,12.022,0.398,104.631,01:26.9,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,86.9
1606,7,77,8,20,23,24,28,47:53.1,12.351,0.329,104.619,01:26.4,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,86.4
1607,7,77,9,17,28,78,28,47:53.7,12.936,0.585,104.598,01:26.0,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,86
1608,7,77,10,94,25,47,28,47:53.9,13.154,0.218,104.59,01:26.8,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,86.8
1609,7,77,11,8,34,72,28,47:55.3,14.548,1.394,104.539,01:27.0,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,87
1610,7,77,12,28,9,34,28,47:56.0,15.257,0.709,104.514,01:26.9,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,86.9
1611,7,77,13,88,34,8,28,47:56.2,15.442,0.185,104.507,01:26.9,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,86.9
1612,7,77,14,71,41,55,28,47:56.5,15.756,0.314,104.495,01:27.2,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,87.2
1613,7,77,15,7,11,66,28,47:57.7,16.971,1.215,104.451,01:26.4,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,86.4
1614,7,77,16,4,18,29,28,47:58.7,17.942,0.971,104.416,01:25.8,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,85.8
1615,7,77,17,6,11,23,28,47:59.1,18.285,0.343,104.404,01:26.1,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,86.1
1616,7,77,,99,42,79,28,47:36.9,,,105.215,01:25.8,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,85.8
1617,7,77,,36,42,46,28,47:57.4,,,104.462,01:27.0,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,87
1618,7,77,,23,37,10,28,47:57.9,,,104.446,01:26.6,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,86.6
1619,7,77,,22,37,62,24,42:32.6,,,100.934,01:25.2,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,85.2
1620,7,77,,10,23,7,15,25:47.9,,,104.03,01:27.3,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,87.3
1621,7,77,,25,15,76,12,22:15.8,,,96.437,01:28.0,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,88
1622,7,77,,37,18,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,
1623,7,78,1,48,41,52,32,46:41.7,,,122.614,01:26.0,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,86
1624,7,78,2,37,18,13,32,46:45.9,4.169,4.169,122.432,01:26.0,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,86
1625,7,78,3,22,37,62,32,46:48.6,6.912,2.743,122.312,01:26.3,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,86.3
1626,7,78,4,99,42,79,32,46:49.0,7.296,0.384,122.295,01:25.9,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,85.9
1627,7,78,5,27,9,18,32,46:51.7,9.986,2.69,122.178,01:25.7,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,85.7
1628,7,78,6,94,25,47,32,46:52.3,10.63,0.644,122.15,01:26.0,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,86
1629,7,78,7,28,9,34,32,46:52.7,10.968,0.338,122.136,01:25.6,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,85.6
1630,7,78,8,25,15,76,32,47:02.8,21.111,10.143,121.697,01:26.5,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,86.5
1631,7,78,9,20,23,24,32,47:02.9,21.261,0.15,121.69,01:26.3,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,86.3
1632,7,78,10,33,7,60,32,47:03.6,21.896,0.635,121.663,01:25.4,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,85.4
1633,7,78,11,4,18,29,32,47:03.9,22.216,0.32,121.649,01:25.9,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,85.9
1634,7,78,12,10,23,7,32,47:09.6,27.945,5.729,121.403,01:25.7,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,85.7
1635,7,78,13,5,28,75,32,47:10.3,28.578,0.633,121.376,01:26.3,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,86.3
1636,7,78,14,23,37,10,32,47:17.4,35.72,7.142,121.07,01:26.2,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,86.2
1637,7,78,15,6,11,23,32,47:22.7,41.027,5.307,120.844,01:26.3,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,86.3
1638,7,78,16,7,11,66,32,47:22.7,41.029,0.002,120.844,01:26.3,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,86.3
1639,7,78,17,36,42,46,32,47:27.9,46.25,5.221,120.622,01:27.4,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,87.4
1640,7,78,18,11,7,33,32,48:08.2, 1:26.473,40.223,118.943,01:26.3,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,86.3
1641,7,78,,88,34,8,29,45:38.0,,,113.703,01:25.9,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,85.9
1642,7,78,,13,15,25,25,37:12.9,,,120.195,01:26.6,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,86.6
1643,7,78,,29,25,69,21,31:20.7,,,119.871,01:26.7,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,86.7
1644,7,78,,8,34,72,16,28:38.1,,,99.97,01:26.8,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,86.8
1645,7,78,,71,41,55,12,17:58.3,,,119.472,01:27.0,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,87
1646,7,78,,17,28,78,8,13:06.3,,,109.225,01:27.5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,87.5
1647,7,79,1,28,9,34,38,46:24.7,,,113.969,01:11.4,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,71.4
1648,7,79,2,25,15,76,38,46:26.8,2.072,2.072,113.884,01:11.6,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,71.6
1649,7,79,3,11,7,33,38,46:27.6,2.832,0.76,113.853,01:11.7,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,71.7
1650,7,79,4,37,18,13,38,46:29.4,4.623,1.791,113.78,01:11.8,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,71.8
1651,7,79,5,4,18,29,38,46:30.0,5.239,0.616,113.755,01:11.9,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,71.9
1652,7,79,6,23,37,10,38,46:31.1,6.37,1.131,113.709,01:11.8,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,71.8
1653,7,79,7,22,37,62,38,46:31.3,6.581,0.211,113.7,01:11.7,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,71.7
1654,7,79,8,36,42,46,38,46:32.6,7.826,1.245,113.65,01:11.7,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,71.7
1655,7,79,9,10,23,7,38,46:33.2,8.489,0.663,113.623,01:11.1,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,71.1
1656,7,79,10,33,7,60,38,46:36.7,11.917,3.428,113.483,01:11.7,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,71.7
1657,7,79,11,94,25,47,38,46:39.7,14.912,2.995,113.362,01:11.8,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,71.8
1658,7,79,12,13,15,25,38,46:40.0,15.289,0.377,113.347,01:11.5,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,71.5
1659,7,79,13,17,28,78,38,46:52.3,27.523,12.234,112.854,01:11.7,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,71.7
1660,7,79,14,48,41,52,38,46:52.4,27.698,0.175,112.847,01:11.5,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,71.5
1661,7,79,15,71,41,55,38,46:53.2,28.472,0.774,112.815,01:10.8,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,70.8
1662,7,79,16,88,34,8,38,46:53.5,28.746,0.274,112.804,01:11.9,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,71.9
1663,7,79,17,6,11,23,38,47:05.9,41.106,12.36,112.311,01:12.3,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,72.3
1664,7,79,18,7,11,66,38,47:14.6,49.849,8.743,111.965,01:12.0,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,72
1665,7,79,,27,9,18,30,39:00.6,,,107.049,01:11.0,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,71
1666,7,79,,29,25,69,29,37:17.8,,,108.235,01:12.0,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,72
1667,7,79,,5,28,75,27,33:28.4,,,112.278,01:11.3,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,71.3
1668,7,79,,20,23,24,14,17:18.0,,,112.643,01:12.0,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,72
1669,7,79,,8,34,72,11,14:15.7,,,107.363,01:13.5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,73.5
1670,7,79,,99,42,79,10,12:20.9,,,112.723,01:11.9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,71.9
1671,7,80,1,10,23,7,37,46:15.9,,,111.323,01:10.5,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,70.5
1672,7,80,2,37,18,13,37,46:20.1,4.167,4.167,111.156,01:10.5,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,70.5
1673,7,80,3,13,15,25,37,46:20.7,4.84,0.673,111.129,01:10.2,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,70.2
1674,7,80,4,99,42,79,37,46:23.1,7.154,2.314,111.037,01:11.0,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,71
1675,7,80,5,36,42,46,37,46:23.7,7.762,0.608,111.013,01:10.8,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,70.8
1676,7,80,6,29,25,69,37,46:32.2,16.286,8.524,110.674,01:10.7,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,70.7
1677,7,80,7,71,41,55,37,46:40.9,24.983,8.697,110.33,01:10.9,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,70.9
1678,7,80,8,4,18,29,37,46:41.0,25.084,0.101,110.326,01:10.4,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,70.4
1679,7,80,9,94,25,47,37,46:41.3,25.405,0.321,110.313,01:11.2,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,71.2
1680,7,80,10,28,9,34,37,46:41.9,26.009,0.604,110.29,01:10.4,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,70.4
1681,7,80,11,7,11,66,37,46:42.2,26.341,0.332,110.277,01:10.7,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,70.7
1682,7,80,12,5,28,75,37,46:46.7,30.781,4.44,110.102,01:11.2,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,71.2
1683,7,80,13,20,23,24,37,46:46.9,30.957,0.176,110.095,01:10.1,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,70.1
1684,7,80,14,11,7,33,37,46:47.9,31.97,1.013,110.056,01:10.9,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,70.9
1685,7,80,15,23,37,10,37,46:48.9,32.985,1.015,110.016,01:10.7,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,70.7
1686,7,80,16,27,9,18,37,46:51.6,35.692,2.707,109.91,01:11.1,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,71.1
1687,7,80,17,48,41,52,37,46:51.8,35.924,0.232,109.901,01:10.5,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,70.5
1688,7,80,18,17,28,78,37,46:52.2,36.339,0.415,109.885,01:10.7,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,70.7
1689,7,80,19,22,37,62,37,47:07.3,51.384,15.045,109.3,01:11.0,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,71
1690,7,80,20,33,7,60,37,47:15.6,59.694,8.31,108.979,01:10.3,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,70.3
1691,7,80,21,88,34,8,37,47:21.2, 1:5.327,5.633,108.763,01:11.1,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,71.1
1692,7,80,22,6,11,23,37,47:23.6, 1:7.701,2.374,108.673,01:11.6,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,71.6
1693,7,80,,8,34,72,29,37:20.1,,,108.123,01:11.2,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,71.2
1694,7,80,,25,15,76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,
1695,7,81,1,27,9,18,33,46:50.0,,,95.207,01:22.8,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,82.8
1696,7,81,2,17,28,78,33,46:55.4,5.341,5.341,95.026,01:22.8,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,82.8
1697,7,81,3,94,25,47,33,46:57.0,6.946,1.605,94.972,01:23.2,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,83.2
1698,7,81,4,36,42,46,33,47:00.7,10.699,3.753,94.846,01:22.9,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,82.9
1699,7,81,5,33,7,60,33,47:01.5,11.427,0.728,94.821,01:22.5,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,82.5
1700,7,81,6,11,7,33,33,47:02.3,12.233,0.806,94.794,01:22.8,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,82.8
1701,7,81,7,5,28,75,33,47:07.4,17.381,5.148,94.622,01:22.9,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,82.9
1702,7,81,8,13,15,25,33,47:08.5,18.457,1.076,94.586,01:22.8,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,82.8
1703,7,81,9,48,41,52,33,47:20.8,30.724,12.267,94.177,01:23.1,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,83.1
1704,7,81,10,99,42,79,33,47:28.3,38.24,7.516,93.929,01:23.6,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,83.6
1705,7,81,11,37,18,13,33,47:33.5,43.475,5.235,93.756,01:23.3,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,83.3
1706,7,81,12,25,15,76,33,47:38.1,48.025,4.55,93.607,01:22.7,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,82.7
1707,7,81,13,4,18,29,33,47:41.1,51.037,3.012,93.509,01:23.2,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,83.2
1708,7,81,14,20,23,24,33,47:47.6,57.579,6.542,93.295,01:22.3,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,82.3
1709,7,81,15,8,34,72,33,47:48.7,58.624,1.045,93.261,01:23.8,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,83.8
1710,7,81,16,6,11,23,33,47:50.0,59.945,1.321,93.218,01:24.1,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,84.1
1711,7,81,17,7,11,66,33,47:50.5,+ 1:00.436,0.491,93.202,01:24.0,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,84
1712,7,81,18,28,9,34,33,47:55.2, 1:5.105,4.669,93.051,01:22.9,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,82.9
1713,7,81,,23,37,10,33,46:58.1,,,94.936,01:22.9,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,82.9
1714,7,81,,22,37,62,33,47:18.2,,,94.262,01:23.1,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,83.1
1715,7,81,,71,41,55,33,48:34.8,,,91.787,01:23.0,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,83
1716,7,81,,88,34,8,25,47:57.2,,,70.442,01:22.7,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,82.7
1717,7,81,,10,23,7,1,02:04.9,,,64.928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,
1718,7,81,,29,25,69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,
1719,7,82,1,94,25,47,30,46:29.5,,,87.188,01:22.2,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,82.2
1720,7,82,2,17,28,78,30,46:30.1,0.599,0.599,87.17,01:22.3,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,82.3
1721,7,82,3,20,23,24,30,46:35.8,6.257,5.658,86.993,01:22.4,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,82.4
1722,7,82,4,4,18,29,30,46:36.2,6.682,0.425,86.98,01:21.6,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,81.6
1723,7,82,5,99,42,79,30,46:38.7,9.212,2.53,86.901,01:22.6,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,82.6
1724,7,82,6,28,9,34,30,46:40.2,10.637,1.425,86.857,01:22.5,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,82.5
1725,7,82,7,37,18,13,30,46:42.2,12.685,2.048,86.794,01:22.1,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,82.1
